time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
106.55,0.486967925605137,0.00947825328999609,-0.0562042072312055,-0.0221681131967978,0.0266128272849822,0.00155810607296176,NaN,NaN,NaN,NaN,NaN,NaN
106.555,0.396848557830111,0.0137367623131659,-0.0516421709925475,-0.0533220103111633,0.0232762998375353,0.00110325583875456,NaN,NaN,NaN,NaN,NaN,NaN
106.56,0.308539772154831,0.0178304260217478,-0.0470877918879899,-0.0845328117736444,0.0199759555910343,0.00065899031226551,NaN,NaN,NaN,NaN,NaN,NaN
106.565,0.223289913240976,0.0217018158566314,-0.0425818127226737,-0.11500287436373,0.0167619364898435,0.000226406059389051,NaN,NaN,NaN,NaN,NaN,NaN
106.57,0.142034342903463,0.0253003098212924,-0.0381646431948067,-0.144325593812173,0.0136853291058458,-0.000194152399404242,NaN,NaN,NaN,NaN,NaN,NaN
106.575,0.0656558618526026,0.0285837609480031,-0.0338757086803484,-0.172267003360426,0.0107969687689122,-0.000603060091056672,NaN,NaN,NaN,NaN,NaN,NaN
106.58,-0.00476120259821652,0.0315198671217919,-0.0297528229805695,-0.19800403773123,0.00814615400124877,-0.00100133295792579,NaN,NaN,NaN,NaN,NaN,NaN
106.585,-0.0687348642339243,0.0340871781762147,-0.025831595220705,-0.22174134957212,0.0057792958579399,-0.00139050147874026,NaN,NaN,NaN,NaN,NaN,NaN
106.59,-0.125867762662536,0.0362756899965139,-0.0221448796132191,-0.243613784313873,0.00373853030649746,-0.00177243660465304,NaN,NaN,NaN,NaN,NaN,NaN
106.595,-0.175830627060701,0.0380869914031824,-0.0187222751017049,-0.263563638482987,0.00206032487081481,-0.00214912989895104,NaN,NaN,NaN,NaN,NaN,NaN
106.6,-0.218714646031092,0.0395339470675238,-0.0155896800207377,-0.281720675018835,0.00077411328185573,-0.00252243169666128,NaN,NaN,NaN,NaN,NaN,NaN
106.605,-0.254128747564364,0.0406399178596286,-0.0127689049155332,-0.297883883651663,-9.90063155024847e-05,-0.00289375306807279,NaN,NaN,NaN,NaN,NaN,NaN
106.61,-0.282190573349292,0.0414375381226553,-0.0102773446667832,-0.312080697064096,-0.000547473078034065,-0.00326373930680416,NaN,NaN,NaN,NaN,NaN,NaN
106.615,-0.303075063785918,0.0419670867531345,-0.00812770918845727,-0.324290399332054,-0.000570328554525222,-0.00363192448929855,NaN,NaN,NaN,NaN,NaN,NaN
106.62,-0.317149404882263,0.0422745050816637,-0.00632781035058113,-0.334544133345169,-0.000178109613724329,-0.00399637828450574,NaN,NaN,NaN,NaN,NaN,NaN
106.625,-0.32513844028666,0.042409128921129,-0.00488040156493548,-0.343049627830152,0.000606464215294671,-0.00435335754507377,NaN,NaN,NaN,NaN,NaN,NaN
106.63,-0.327722891140746,0.0424212143973389,-0.00378306578306272,-0.349899751735254,0.00174803916819009,-0.00469697620322915,NaN,NaN,NaN,NaN,NaN,NaN
106.635,-0.325907196842834,0.0423593469918588,-0.00302814758568978,-0.355298246019573,0.0031984372341254,-0.00501890755264909,NaN,NaN,NaN,NaN,NaN,NaN
106.64,-0.320376227808703,0.0422678303600263,-0.00260272563911709,-0.359238167772319,0.00489674803970227,-0.00530813306224326,NaN,NaN,NaN,NaN,NaN,NaN
106.645,-0.311962023233934,0.0421841557315614,-0.00248862305094299,-0.361742689464858,0.00676971649612123,-0.00555075139697208,NaN,NaN,NaN,NaN,NaN,NaN
106.65,-0.301508480338326,0.0421366538764919,-0.00266245500688765,-0.362835005198415,0.00873243275723091,-0.00572986029471657,NaN,NaN,NaN,NaN,NaN,NaN
106.655,-0.289526777970064,0.0421424295615128,-0.00309571538109502,-0.362488042890549,0.0106893230480342,-0.00582552237206618,NaN,NaN,NaN,NaN,NaN,NaN
106.66,-0.277352161759822,0.0422056729810468,-0.00375490659212325,-0.360674907308384,0.0125354315055895,-0.00581482383826105,NaN,NaN,NaN,NaN,NaN,NaN
106.665,-0.265796756904122,0.0423164336918535,-0.00460171958128857,-0.357303637150771,0.0141579746104098,-0.00567203254586662,NaN,NaN,NaN,NaN,NaN,NaN
106.67,-0.255927651931382,0.0424499300126872,-0.00559327313490932,-0.352096065411456,0.0154381413983126,-0.00536885888637002,NaN,NaN,NaN,NaN,NaN,NaN
106.675,-0.248343502577403,0.0425664506320811,-0.00668242355092322,-0.344887438652582,0.0162531047805952,-0.00487481985998978,NaN,NaN,NaN,NaN,NaN,NaN
106.68,-0.243269635505749,0.0426118853497699,-0.0078181565557752,-0.335583912199664,0.016478202329508,-0.00415770334176939,NaN,NaN,NaN,NaN,NaN,NaN
106.685,-0.241111609427103,0.0425188986433537,-0.00894607312428905,-0.32393057916521,0.015989239168137,-0.0031841262725577,NaN,NaN,NaN,NaN,NaN,NaN
106.69,-0.2418376119997,0.0422087334600728,-0.0100089792057705,-0.309758739032825,0.0146648614754172,-0.00192017736845686,NaN,NaN,NaN,NaN,NaN,NaN
106.695,-0.245903117846421,0.0415936038655654,-0.0109475861486823,-0.292665434382453,0.012388946862232,-0.000332132101586312,NaN,NaN,NaN,NaN,NaN,NaN
106.7,-0.253386143165927,0.0405796047889761,-0.0117013237750807,-0.27233716622725,0.00905295769390365,0.00161277472809017,NaN,NaN,NaN,NaN,NaN,NaN
