time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
34.025,45.0255126698252,-4.69008914697674,-13.7163069062563,-66.8147402137219,9.69290773875659,-8.12487419818268,2.12750966742789,-0.114672073858406,5.77813126186469,-17.6257518641695,9.90080734873811,-0.771296044346736
34.03,45.314730559567,-4.4977018677366,-13.5895011049258,-65.672721908201,9.67567376617625,-7.74454156366149,1.717789610984,-0.142437598182165,6.07596086980711,-17.4576162496359,10.0011230301381,-1.17074323124519
34.035,45.6007666752697,-4.30715031897755,-13.4599526291888,-64.525623263967,9.65460693817441,-7.35930611203825,1.30656683388735,-0.168410951684459,6.37742654261464,-17.2895036157842,10.0980382398001,-1.574993926286
34.04,45.880978304909,-4.11974702507282,-13.326666979539,-63.3788942307939,9.6272048149385,-6.97018397569345,0.894766113689133,-0.191936618845182,6.68260743227904,-17.122082514023,10.1904888985381,-1.98463920742365
34.045,46.1528753766997,-3.93669969792437,-13.188630281365,-62.2378847701031,9.5909591066396,-6.5782467597625,0.483182198315743,-0.21242446590846,6.99168488840959,-16.9559762243434,10.2774964320918,-2.40045706221532
34.05,46.4141742624483,-3.75908761188683,-13.0448523683998,-61.1078243602259,9.54343493501065,-6.18464734518932,0.072486340853065,-0.229370657948112,7.30491147858748,-16.7917598817516,10.3581979947012,-2.82335910749341
34.055,46.6628449396522,-3.58784166508888,-12.8944092205945,-59.9938076895384,9.48234951466348,-5.7906447540596,-0.336765163473376,-0.242375760386023,7.62257620231344,-16.6299588723579,10.4318754620897,-3.25433018792279
34.06,46.8971500745269,-3.42372868933244,-12.7364831149223,-58.9007850932573,9.40564773163986,-5.39762639041151,-0.74412133976956,-0.251159295921408,7.94496733827885,-16.4710484020774,10.4979822640816,-3.69436292008995
34.065,47.1156748963573,-3.26734044214314,-12.5703989976447,-57.8335561963455,9.31157226094965,-5.00712610036813,-1.14922658289332,-0.255570179568095,8.27233440999265,-16.3154541665506,10.5561671256152,-4.14438932392762
34.07,47.3173470824304,-3.11908757104048,-12.3956557974354,-56.7967652225519,9.19872610948953,-4.62083669628183,-1.55181101774528,-0.255592633380486,8.60485074073604,-16.1635540865137,10.6062938067171,-4.605211680586
34.075,47.501446246403,-2.97919868628239,-12.2119516567911,-55.7948965068414,9.06612578055363,-4.24061584548722,-1.95168159646611,-0.251347379506968,8.94257800003666,-16.0156811132053,10.6484559768789,-5.07743468555731
34.08,47.6676030049376,-2.84772451897585,-12.0192023488789,-54.8322688922696,8.91324361399141,-3.86848451982962,-2.34871414265317,-0.243088115630711,9.2854340260771,-15.8721271480204,10.6829864275801,-5.5614008388013
34.085,47.815787971662,-2.7245469811947,-11.8175524520453,-53.9130278888373,8.7400382438989,-3.50661752265386,-2.74284633518577,-0.231193480622555,9.63316504805244,-15.7331481542646,10.7104599193611,-6.05713084023973
34.09,47.9462913787386,-2.60939278809257,-11.6073791583738,-53.0411347071131,8.5469725157941,-3.15732594185513,-3.13407142088185,-0.216154910622197,9.98532323636848,-15.5989705618874,10.7316890778074,-6.56427054879043
34.095,48.0596943406925,-2.50185115328813,-11.3892888806255,-52.2203515401072,8.33501860101162,-2.82303170873972,-3.52243227031772,-0.198560957734489,10.341250284155,-15.4697990747159,10.7477128968059,-7.08204582442535
34.1,48.1568330407863,-2.40139493226407,-11.1641070799997,-51.454222740737,8.1056504229405,-2.50623476215384,-3.90801525690755,-0.179078787029239,10.7000674787351,-15.3458259811983,10.7597775776133,-7.6092263127298
