time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
34.025,57.843577948326,38.4774558480089,25.361160266077,228.403661104073,-3.44679451606461,76.0665269042006,-81.9440112887358,-5.55310486474903,59.5659215884534,33.6271229067007,20.0631362799797,-79.8894373796499
34.03,57.5254005444134,38.2938827998988,25.6354277067376,228.911694975373,-3.8300800582153,76.5568086144044,-82.094283354012,-5.37388778260254,59.9295280749647,33.6248248385067,19.723089106186,-80.3697881938855
34.035,56.6247745341664,37.7954842663584,26.2834125386718,229.382767740593,-4.84689512377284,77.4357587967636,-82.3023497294444,-4.94990206629914,60.6646562471622,33.5533735612702,18.9365868399952,-81.3895976178047
34.04,55.2108701429711,37.0450621052992,27.132234782365,228.773849386277,-6.36478315347778,78.1059352275343,-82.3384635571182,-4.40135142239786,61.4258345794629,33.3527391440629,17.9458192291602,-82.5463135928892
34.045,53.3195957539033,36.0659413185806,28.1814611138998,227.106987056679,-8.37698799278124,78.5536630503736,-82.2279772835647,-3.74340391029106,62.2304046308116,33.0322632271228,16.7709096163044,-83.8719900069323
34.05,50.996956295228,34.8858032835318,29.422106077027,224.407708056351,-10.8609591976071,78.7602005702502,-81.99473617887,-2.9951294477548,63.0891313903527,32.6017351985375,15.4379029997824,-85.3873125707039
34.055,48.2975812078324,33.5358922554219,30.8369253477345,220.703926696749,-13.7787203370716,78.7020954777406,-81.6607680622208,-2.17886379732849,64.005585969105,32.071147967407,13.9784269380323,-87.10038125961
34.06,45.2829956704899,32.050122294557,32.4010222949693,216.025149319189,-17.0777253713739,78.3518653691067,-81.2461419419525,-1.31944191820651,64.975820767888,31.4504705807109,12.4291663525423,-89.0059136004375
34.065,42.0197007903282,30.4641118291801,34.0827317486694,210.40198707044,-20.6921622150221,77.6789694129279,-80.7689677975305,-0.443333745907566,65.9883402456852,30.7494315563509,10.8311542635455,-91.0848760495579
34.07,38.5771350045482,28.8141755860608,35.8447340853437,203.8659689503,-24.5446480395892,76.6510254880522,-80.2455013572386,0.422280006112486,67.0243590043665,29.9773053345201,9.22888512636593,-93.3045361629207
34.075,35.0255922507115,27.1363052064492,37.6453448556403,196.449633028128,-28.5482495497973,75.2352176451829,-79.690312490748,1.25045177497682,68.0583285340711,29.1426938493137,7.66926208629551,-95.6189158214818
34.08,31.4341725258816,25.4651705087555,39.4399204745574,188.186861800311,-32.6087536654562,73.3998322832984,-79.1164738719253,2.01538988844024,69.0587048015427,28.2532958940572,6.20039424822354,-97.9696154681926
34.085,27.8688373800854,23.8331730883154,41.1823190504852,179.113418515557,-36.6271098197127,71.1158577974125,-78.5357278228284,2.69332050085006,69.9889210291018,27.3156586132892,4.87026502272698,-100.286970998861
34.09,24.3906369030408,22.2695827906456,42.8263571419593,169.267634872929,-40.5019642887073,68.358581391379,-77.9585935131548,3.26325228880501,70.8085236102207,26.3349079548489,3.72529774447448,-102.491498418509
34.095,21.0541662047574,20.79978558284,44.3272078373815,158.691196637528,-44.1322092853374,65.1091179700958,-77.3943836025297,3.70761235929388,71.4744242366255,25.314458068898,2.80884998058733,-104.495576393884
34.1,17.9062986789952,19.4446684943002,45.6426926392907,147.429972191566,-47.4194745442123,61.3558092561569,-76.8511085133131,4.01272818996892,71.9422180685733,24.2557032360084,2.15967307381245,-106.205313284864
34.105,14.9852308835344,18.2201635921502,46.7344286378185,135.534829584085,-50.2704962427908,57.0954363650492,-76.3352573256827,4.16913797689502,72.1675163091643,23.157699729196,1.81037809412313,-107.522543398369
34.11,12.3198600281399,17.1369683461416,47.5688026819661,123.062390000802,-52.5993066779757,52.3341960414195,-75.8514563257865,4.17172017608932,72.107242075288,22.0168488441998,1.78595282964797,-108.346897847976
34.115,9.92950023365243,16.2004541620258,48.1177549338132,110.075669503512,-54.329197423235,47.0883996417747,-75.4020189457201,4.01964191298041,71.720841239535,20.8265959013525,2.10237600442315,-108.577899338273
34.12,7.82392856354787,15.4107683405483,48.3593645581192,96.6445661614674,-55.3944180913956,41.384864525076,-74.9864133598191,3.71613484569559,70.9713650497633,19.5771629823354,2.76537420357724,-108.117037499441
34.125,6.00373732171397,14.7631274281006,48.2782396497894,82.8461561032642,-55.7415819514984,35.2609792064953,-74.6006851520104,3.26811544423731,69.8263886662648,18.2553351157646,3.76936431026691,-106.869791023187
34.13,4.46095644326603,14.2482921820635,47.8657211724526,68.7647693561526,-55.3307584440541,28.7644356985694,-74.2368808921636,2.68567384171538,68.2587389900676,16.8443202090679,5.09662039604942,-104.74757311679
34.135,3.179900084182,13.8532065386291,47.1199160500464,54.491824422991,-54.136241211487,21.952634277774,-73.8825229450497,1.9814607822409,66.2470160233246,15.3237020094517,6.71669971999507,-101.669586283595
