time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
142.565,54.1912369504099,11.6850999490914,62.5337296762922,220.018020138722,14.0999298435468,175.746553703515,-144.494309694011,-13.7212768259427,5.35007435187491,97.052383127888,9.53492451143984,0.760815783848282
142.57,53.92831484169,11.5798219481522,63.1218938866486,219.879934595336,13.4490197999795,175.72092795679,-144.873041043361,-13.6559476437075,5.24227403314101,97.1579160844144,9.56374853717578,0.887482286892823
142.575,53.130563671526,11.3036161101834,64.3059519085532,218.801162182766,11.8831595139546,175.024769813169,-145.352869433276,-13.4778729033221,5.12988492636635,96.9877744583603,9.73814002087187,1.03011517931529
142.58,51.795590976287,10.9017851229579,65.5013967988341,216.128477284003,9.80530011710549,173.052221793588,-145.292072705326,-13.2094682620112,5.24468619475813,96.050750395929,10.1607110186238,0.930484859741612
142.585,49.9417690916416,10.387528433583,66.6954852809552,211.895366622791,7.25636625314599,169.839360821068,-144.720029130332,-12.8607389333085,5.62596026596665,94.3418848468784,10.8574406052453,0.549689015924637
142.59,47.5975123547634,9.77755323424,67.8664144918527,206.156613425067,4.2942394108076,165.440088958893,-143.665623862079,-12.4435388895275,6.30759209075707,91.863933084348,11.8468439673763,-0.144392497845434
142.595,44.8004817538833,9.09163539560681,68.9838227712272,198.987120089119,0.992330146861789,159.924723599142,-142.156007219188,-11.9712487270056,7.31630483355347,88.6268398044066,13.1387384951862,-1.17484902849388
142.6,41.5965497932847,8.35208403412997,70.0097250576134,190.480452996621,-2.56240294299348,153.37832465874,-140.215582861561,-11.458417521892,8.66997097338238,84.6471219754694,14.7331654960053,-2.5535803169758
142.605,38.038565160164,7.5831303917208,70.8998407236097,180.747133382955,-6.27191138889886,145.898794289463,-137.865241215776,-10.9203836724668,10.376062850045,79.9471783555117,16.6195014272118,-4.27932463043133
142.61,34.1849615241413,6.81026432744141,71.6052547185364,169.912699920431,-10.0298985921324,137.59478947071,-135.121842224833,-10.3728904897233,12.4303067348756,74.5545443198625,18.7757893171514,-6.33597245370571
142.615,30.0982573790282,6.05954313513025,72.0743393032654,158.115571426731,-13.7249390076562,128.583492695074,-131.99794179311,-9.83171221628881,14.8156022480504,68.5011102604245,21.1683172808504,-8.6912617424086
142.62,25.8434944865159,5.35689758834915,72.2548538196818,145.504741625403,-17.2437612032678,118.988289908044,-128.501748172329,-9.31230524719844,17.5012643589146,61.822321304856,23.7514668559762,-11.2959438453892
142.625,21.4866614606816,4.72745912719169,72.0961339856217,132.237341784609,-20.4745789719037,108.936407357721,-124.637287950162,-8.82949767179047,20.4426383018946,54.5563754322453,26.4678493630512,-14.0834980626741
142.63,17.0931466041636,4.19493004490672,71.5512801121499,118.476110926637,-23.3103572850221,98.5565597620772,-120.404756196193,-8.39722796347376,23.5811285956618,46.7434361995211,29.2487436757297,-16.970457639915
142.635,12.726260545128,3.7810155568694,70.5792552219506,104.386816719467,-25.6519068911656,87.9766610984513,-115.801021605281,-8.02834084486812,26.8446721563923,38.4248752214426,32.0148436892805,-19.8573912159851
142.64,8.4458647853785,3.50493293591509,69.1468090092051,90.1356727616512,-27.4107121407882,77.3216464043983,-110.820255080504,-7.73444519988942,30.1486725614199,29.6425582753594,34.6773183946268,-22.6305618880722
