time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
106.55,10.4881755829705,12.8210198128783,58.6831255104925,220.156005108695,22.7240556451017,126.462161097406,-108.667465126694,-1.11865118381239,-2.875924867145,65.6735332106772,10.8335148433675,-8.04267565432406
106.555,10.0776662513529,12.582185484953,58.9849351561535,220.304776265403,22.2772235551332,125.93617651723,-108.957361489594,-0.752376900899033,-3.01993378882737,65.7025909640229,10.6760353602935,-7.82224480623766
106.56,9.02521000687774,11.9843900170149,59.534035372788,219.941554982854,21.0688816627744,124.139592039028,-109.41179948376,0.147298958957202,-3.25622496404431,65.5592114255718,10.3883017547709,-7.45781164263357
106.565,7.50931815118433,11.1522287732619,59.9788626113363,218.269448923599,19.2316010479803,120.853604233754,-109.636552525195,1.38182604980796,-3.37715323012398,65.0176759956621,10.1699276334085,-7.26948749178627
106.57,5.53513562660011,10.100991815396,60.3271866380651,215.320390367866,16.7744048540501,116.091978530286,-109.672278503571,2.94733148766996,-3.35947061086061,64.0895342382963,10.0503734267279,-7.30288064637722
106.575,3.1203011691833,8.85284376583385,60.5830604188872,211.138998495153,13.7226242936183,109.896565700413,-109.556092435298,4.82973587187571,-3.18153513633799,62.7897572443531,10.057855077489,-7.60102347325772
106.58,0.294675259380169,7.43640927549791,60.7465396653293,205.781353557193,10.1175139011918,102.336697490107,-109.320161219859,7.00476436702582,-2.82425503934243,61.1360329887146,10.2182689757638,-8.20278255239226
106.585,-2.90031293722998,5.88615322490988,60.8136227957337,199.313764791514,6.01539696939756,93.5079276305422,-108.99054116612,9.43827471110136,-2.27205088003833,59.1480229707595,10.5541036188601,-9.14124757038062
106.59,-6.41267079257201,4.2415733235319,60.7764039616615,191.81155494668,1.48637686387595,83.5301457464303,-108.586274704108,12.086892997283,-1.51380281448548,56.8465944414798,11.0833702638428,-10.4421397867427
106.595,-10.1811604109538,2.54622921345945,60.6234229212627,183.357877023365,-3.38733626288639,72.5451104394588,-108.118753046632,14.8989379611918,-0.543748420279059,54.2530419001687,11.8185862564485,-12.122283789865
106.6,-14.1368825443291,0.846637683011815,60.3401882651934,174.04257276117,-8.51342295046897,60.7134653932605,-107.591343410662,17.815605340207,0.637704169678532,51.3883112261663,12.7658452239992,-14.1881883191887
106.605,-18.2050730678124,-0.808932072163628,59.90984489465,163.9610775845,-13.7917079783209,48.2113176865023,-106.999272590759,20.7723758987549,2.02328264617879,48.2722397451184,13.9240079112155,-16.6347829265993
106.61,-22.3070549191045,-2.37172618702316,59.3139526851487,153.213373120837,-19.1165972958858,35.2264699384029,-106.329752989364,23.700604104144,3.59830973287189,44.922825618745,15.2840461291059,-19.4443569789459
106.615,-26.362286228242,-3.79379827788017,58.533340831657,141.9029859094,-24.3796240445414,21.9544070940817,-105.562332433445,26.5292392952086,5.34034594466648,41.3555400825453,16.8285701066939,-22.5857457968117
106.62,-30.2904447284622,-5.02928716438871,57.5490012999337,130.136029371585,-29.4720304031313,8.59414447005795,-104.66944505782,29.1866275637498,7.21904289120329,37.5826961357751,18.5315665071743,-26.013805460769
106.625,-34.0134892692408,-6.03564237812512,56.3429849358734,118.020285341863,-34.2873151794226,-4.65595382370309,-103.617137107001,31.6023404909558,9.19622926270022,33.6128872326575,20.3583704878501,-29.6692129400988
106.63,-37.4576412518047,-6.77476192985887,54.899264971394,105.664321286702,-38.7236819099031,-17.6022776393306,-102.365938712077,33.7089763651392,11.2262456828912,29.4505092797604,22.2658904133238,-33.4786217501442
106.635,-40.5552320970114,-7.21401011742735,53.2045348625641,93.1766396023481,-42.6863282755236,-30.0598899686381,-100.871850717025,35.4438806052148,13.2565376691204,25.0953787867964,24.2030981385495,-37.3551955024655
106.64,-43.2463676140048,-7.3270873532942,51.2489106967266,80.6648559032145,-46.0895246327872,-41.8561644295928,-99.0874148646586,36.7507349613841,15.2285081298774,20.5424593500645,26.1117911363133,-41.1995328361687
106.645,-45.4803666321207,-7.09472890102291,49.0265129953691,68.2349038121269,-48.8584372981706,-52.8340525199966,-96.962836636011,37.5809698385533,17.0786222757818,15.7817077798806,27.9276251477729,-44.900987806736
106.65,-47.2169395810728,-6.50521485060746,46.5359086749831,55.9902643141596,-50.9306608128499,-62.8549044546628,-94.4471330505583,37.8949608208346,18.7397486829516,10.7980500835844,29.5814075740666,-48.3393803159196
106.655,-48.4270824868633,-5.55467943903848,43.780400898723,44.0312182243995,-52.2574325154307,-71.8007820993294,-91.4892824113156,37.6629788455754,20.1427108245468,5.57149606851322,31.0006327881273,-51.3870817852656
106.66,-49.0936722593691,-4.24721373335327,40.7681618817089,32.45412084727,-52.8045119735794,-79.5762187903723,-88.0393583076508,36.8658728145829,21.2180141291361,0.0773993578137958,32.1112314193047,-53.9114518786555
106.665,-49.2117592285816,-2.59476155104679,37.5122106475985,21.350698600299,-52.5527167634988,-86.1093978404929,-84.0496350106972,35.4954729809204,21.8977050509995,-5.71313303390785,32.8394970182117,-55.7775924044139
106.67,-48.7885619528763,-0.616814139052708,34.0302437515567,10.8073683020831,-51.4981144647675,-91.3527386058251,-79.475654950182,33.5547126386819,22.1173112216402,-11.8326807743078,33.114145853548,-56.8513744518348
106.675,-47.8431770688373,1.66008556452429,30.3443318779797,0.904580959303686,-49.6518784552643,-95.2828956763523,-74.2772510346974,31.0574741500771,21.8178058751618,-18.316803117478,32.868459312142,-57.0026844863717
106.68,-46.4060233227313,4.20301342167116,26.4804989754101,-8.2838068299498,-47.0398221343986,-97.9001926809841,-68.4195172946729,28.0281729943331,20.9475356886117,-25.2031922300811,32.0424537055497,-56.1088248946107
106.685,-44.5180439623264,6.97348940612417,22.468203247464,-16.6911293555214,-43.7016325561289,-99.2275269863282,-61.8737209129277,24.501100180694,19.4640491469317,-32.5306991717758,30.5850192885224,-54.0579947635445
106.69,-42.2296954628842,9.92843418901401,18.3397409322091,-24.2584702017631,-39.689830077772,-99.3087948412698,-54.6181474105534,20.5195489201076,17.3357626446306,-40.338249414757,28.4559688588806,-50.7527679366452
106.695,-39.5997532399387,13.0212305356887,14.1295944570538,-30.9351751569124,-35.0684854911422,-98.2068979607924,-46.6388688681277,16.1347558375346,14.5434038261786,-48.6636692291521,25.6279362750283,-46.1134780632847
106.7,-36.6939667061183,16.2028608415863,9.87374637270434,-36.6793108226938,-29.9117301600823,-96.0014018345758,-37.9304229132919,11.4046902324331,11.0811761552253,-57.5424482815276,22.0880665252094,-40.0814149200897
106.705,-33.5835968917874,19.4230906287005,5.60897959345076,-41.4580589687306,-24.3020978763371,-92.7859228227089,-28.496388124656,6.39272700525407,6.95759535492831,-67.0064672080651,17.839441673444,-32.6217332078953
106.71,-30.3438700018656,22.6316670117613,1.37218306132719,-45.2480358754215,-18.3287393918197,-88.6653250565227,-18.3498398037017,1.16623993960661,2.19595708179485,-77.0827215719893,12.902191208626,-23.7259747832594
106.715,-27.052379878761,25.7795010074392,-2.80031982269451,-48.0355255617136,-12.0855518556064,-83.7528092029491,-7.51366905901905,-4.20484782932936,-3.16559419332371,-87.7920753536594,7.31424109540385,-13.4141083168082
106.72,-23.7874715529765,28.8198030794823,-6.87340463511705,-49.8166159769216,-5.66926568361362,-78.1669734040891,3.97925188848069,-9.64951999640561,-9.07441289613975,-99.1480778339418,1.13166310559419,-1.73599706056022
106.725,-20.6266370413707,31.7091424793162,-10.8137279257708,-50.5972279910853,0.822469252855927,-72.0289224756305,16.086074130634,-15.0970951250436,-15.4641209945383,-111.155877350115,-5.57140538049808,11.2277840031257
106.73,-17.6449534163545,34.4084027704323,-14.5902465334651,-50.3930283423059,7.29295774111177,-65.4594952499535,28.7541597648483,-20.4785937624939,-22.2557877315203,-123.811263927114,-12.7032912126376,25.3658457961883
106.735,-14.9135919961086,36.883608445044,-18.1746650379917,-49.2292195455975,13.6482554965457,-58.5766724570372,41.9214627022159,-25.72801447502,-29.3594962422254,-137.099870260545,-20.1557745286411,40.5366433388343
106.74,-12.498426324354,39.1066007767149,-21.5418041997522,-47.1402020673678,19.7988522334526,-51.4932193497329,55.5171075462415,-30.7834918493695,-36.6762589228351,-150.996557008041,-27.8055355319023,56.5699185051643
106.745,-10.4587653803389,41.0555450083755,-24.6698852433962,-44.1691067413429,25.6612094376832,-44.3146087204273,69.4621655645634,-35.5883132501582,-44.1002305075499,-165.465003899493,-35.5160461637531,73.2689269879303
106.75,-8.846237087652,42.7152556250427,-27.5407268153549,-40.3671983460897,31.1591244541683,-37.1372611181389,83.6706200717232,-40.0917753568596,-51.5211564960213,-180.457522921213,-43.1398825638097,90.4134232868965
106.755,-7.70384554642053,44.0773317207547,-30.1398533780369,-35.7931543751517,36.2248967196926,-30.0471299891576,98.0505064127052,-44.2498661405112,-58.8269853926762,-195.915103942436,-50.5214231799853,107.763351478515
106.76,-7.06522336470583,45.1401001834645,-32.4565156555839,-30.5122262227414,40.8002767175644,-23.1186501444709,112.505204547429,-48.025762822675,-65.9065665959105,-211.76769683556,-57.4998867099208,125.063164527691
106.765,-6.95409787581275,45.9083703816209,-34.4836254603312,-24.5952932184814,44.837183464286,-16.4140584018451,126.934855347994,-51.3901412946638,-72.6523519918213,-227.934727590913,-63.9126537623855,142.046672215225
106.77,-7.38398676009731,46.3930100082989,-36.2176087743882,-18.1178231105198,48.2981819529576,-9.98308551403704,141.237865524144,-54.3212972916019,-78.9630185239941,-244.325839359606,-69.5988062866638,158.442298500605
106.775,-8.35813452060156,46.610357466478,-37.6581823497613,-11.1587556372517,51.1567178302779,-3.86300875179151,155.312461012542,-56.8050841772934,-84.745931276681,-260.841843035238,-74.4028096266672,173.978614168225
