time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
34.025,0.484444429550326,0.0690024413418862,-0.0761229892856436,-0.0485782869884056,0.0336358117676449,-0.00204389880058954,NaN,NaN,NaN,NaN,NaN,NaN
34.03,0.403516942733048,0.0684447354343982,-0.0684557149034559,-0.0749659444079551,0.0306847348160267,-0.00217613758521579,NaN,NaN,NaN,NaN,NaN,NaN
34.035,0.323341539042704,0.0678077472183164,-0.0608321066447536,-0.10102461580367,0.0276687324924788,-0.00228940221433251,NaN,NaN,NaN,NaN,NaN,NaN
34.04,0.244730677673358,0.0670576731290684,-0.0533204490908488,-0.126510556501197,0.0246144890802076,-0.00238509005472564,NaN,NaN,NaN,NaN,NaN,NaN
34.045,0.168484702461056,0.0661562329910846,-0.0459848947229422,-0.151186914110754,0.0215516686734577,-0.00246571381096963,NaN,NaN,NaN,NaN,NaN,NaN
34.05,0.095376002740718,0.065061965145403,-0.0388842949074805,-0.174828546113509,0.0185127027214839,-0.00253489728018854,NaN,NaN,NaN,NaN,NaN,NaN
34.055,0.0261333695381062,0.0637319022030066,-0.0320713009875164,-0.197226734769487,0.0155324790424969,-0.00259732226184865,NaN,NaN,NaN,NaN,NaN,NaN
34.06,-0.0385730880961878,0.0621235918936594,-0.0255917650360958,-0.218193673075967,0.012647921886911,-0.00265862267349173,NaN,NaN,NaN,NaN,NaN,NaN
34.065,-0.0981460983697058,0.0601974045485877,-0.0194844542133436,-0.237566588065944,0.00989745445590413,-0.00272522337213366,NaN,NaN,NaN,NaN,NaN,NaN
34.07,-0.152074090472456,0.0579190461533185,-0.0137810759953386,-0.255211363379527,0.00732033776845437,-0.00280412284465235,NaN,NaN,NaN,NaN,NaN,NaN
